Instrument,Code,Position Type,Quantity,"Unit Price
(Local)
","Value 
(Local)","Exposure 
(Local)",Price Ccy,FX Rate,Instrument Class,"Exposure 
(USD)","Requirement 
(USD)",%Req
CT PPTY TR ORD,CTPT LN,Cash,"2,556,887",0.73,"1,866,528","1,866,528",GBP,1.2352,Equity,"2,847,797","2,242,554",78.75
FERGUSON ORD,FERG LN,Cash,"1,157",113.45,"131,262","131,262",GBP,1.2352,Equity,"200,268","43,330",21.64
HARBOURVEST GLOBAL ORD,HVPE LN,Cash,"131,249",22.1,"2,900,603","2,900,603",GBP,1.2352,Equity,"4,425,505","1,449,909",32.76
MAGELLAN GLOBAL UNT,MGF AU,Cash,"500,000",1.395,"697,500","697,500",AUD,0.706,Equity,"347,659","75,220",21.64
NB GLOBAL MONTHLY INCOME FUND ORD,NBMI LN,Cash,"3,000,000",0.746,"2,238,000","2,238,000",GBP,1.2352,Equity,"3,414,559","2,855,789",83.64
NEW ENERGY SOLAR STAPLED UNT,NEW AU,Cash,"7,684,727",0.2,"1,536,945","1,536,945",AUD,0.706,Equity,"766,069","656,356",85.68
PANTHEON INTERNATIONAL CF,PIN LN,Cash,"1,421,921",2.645,"3,760,981","3,760,981",GBP,1.2352,Equity,"5,738,200","2,809,682",48.96
RESTAURANT BRANDS INTERN,QSR,Cash,"-8,500",66.59,"-566,015","-566,015",USD,1,Equity,"-566,015","84,902",15
THIRD POINT INVESTORS ORD,TPOU LN,Cash,"119,714",20.4,"2,442,166","2,442,166",USD,1,Equity,"2,442,166","1,704,081",69.78
TRIAN INVESTORS 1 ORD,TI1 LN,Cash,"1,333,000",1.84,"2,452,720","2,452,720",GBP,1.2352,Equity,"3,742,162","3,706,765",99.05
UMG ORD,UMG NA,Synthetic,"-44,000",23.635,"-49,500","-1,039,940",EUR,1.0851,Equity,"-1,224,469","183,670",15
VPC SPECIALTY LENDING INVESTS ORD,VSL LN,Cash,"1,070,295",0.838,"896,907","896,907",GBP,1.2352,Equity,"1,368,428","907,794",66.34
AFRICA OPPORTUNITY ORD,AOF LN,Fully Paid,"2,760,062",0.54,"1,490,433","1,490,433",USD,1,Equity,"1,490,433","1,490,433",100
ALLIED MINDS ORD,ALM LN,Fully Paid,"18,462,237",0.1385,"2,557,020","2,557,020",GBP,1.2352,Equity,"3,901,294","3,901,294",100
AMEDEO AIR FOUR PLUS ORD,AA4 LN,Fully Paid,"23,788,430",0.4,"9,515,372","9,515,372",GBP,1.2352,Equity,"14,517,784","14,517,784",100
ASEANA PROPERTIES ORD,ASPL LN,Fully Paid,"8,000,000",0.14,"1,120,000","1,120,000",USD,1,Equity,"1,120,000","1,120,000",100
