,,,,Margin Report Day 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument,Code,Position Type,Quantity,"Unit Price
(Local)
","Value 
(Local)","Exposure 
(Local)",Price Ccy,FX Rate,Instrument Class,"Exposure 
(USD)","Requirement 
(USD)",%Req,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT PPTY TR ORD,CTPT LN,Cash,"2,556,887",0.7100,"1,815,390","1,815,390",GBP,1.2320,Equity,"2,755,442","2,169,284",78.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERGUSON ORD,FERG LN,Cash,"1,157",113.6000,"131,435","131,435",GBP,1.2320,Equity,"199,496","43,020",21.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARBOURVEST GLOBAL ORD,HVPE LN,Cash,"131,249",22.1000,"2,900,603","2,900,603",GBP,1.2320,Equity,"4,402,605","1,411,042",32.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGELLAN GLOBAL UNT,MGF AU,Cash,"500,000",1.3900,"695,000","695,000",AUD,0.7055,Equity,"345,923","74,597",21.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB GLOBAL MONTHLY INCOME FUND ORD,NBMI LN,Cash,"3,000,000",0.7320,"2,196,000","2,196,000",GBP,1.2320,Equity,"3,333,142","2,887,549",86.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW ENERGY SOLAR STAPLED UNT,NEW AU,Cash,"7,684,727",0.0680,"522,561","522,561",AUD,0.7055,Equity,"260,095","222,742",85.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANTHEON INTERNATIONAL CF,PIN LN,Cash,"1,421,921",2.6450,"3,760,981","3,760,981",GBP,1.2320,Equity,"5,708,507","2,705,224",47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESTAURANT BRANDS INTERN,QSR,Cash,"-8,500",66.9300,"-568,905","-568,905",USD,1.0000,Equity,"-568,905","85,336",15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THIRD POINT INVESTORS ORD,TPOU LN,Cash,"119,714",20.4000,"2,442,166","2,442,166",USD,1.0000,Equity,"2,442,166","1,751,012",71.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIAN INVESTORS 1 ORD,TI1 LN,Cash,"1,333,000",1.8450,"2,459,385","2,459,385",GBP,1.2320,Equity,"3,732,914","3,710,262",99.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMG ORD,UMG NA,Synthetic,"-44,000",23.4700,"-42,240","-1,032,680",EUR,1.0863,Equity,"-1,218,612","182,792",15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRICA OPPORTUNITY ORD,AOF LN,Fully Paid,"2,760,062",0.5400,"1,490,433","1,490,433",USD,1.0000,Equity,"1,490,433","1,490,433",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLIED MINDS ORD,ALM LN,Fully Paid,"18,462,237",0.1385,"2,557,020","2,557,020",GBP,1.2320,Equity,"3,881,106","3,881,106",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMEDEO AIR FOUR PLUS ORD,AA4 LN,Fully Paid,"23,788,430",0.4000,"9,515,372","9,515,372",GBP,1.2320,Equity,"14,442,660","14,442,660",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASEANA PROPERTIES ORD,ASPL LN,Fully Paid,"8,000,000",0.1400,"1,120,000","1,120,000",USD,1.0000,Equity,"1,120,000","1,120,000",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DORIC NIMROD AIR TWO LTD,DNA2 LN,Fully Paid,"4,242,783",1.0400,"4,412,494","4,412,494",GBP,1.2320,Equity,"6,697,390","6,697,390",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGYO SOLUTIONS INVEST ORD,EOS SF,Fully Paid,"909,529",0.0000,0,0,SEK,0.0956,Equity,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPEL PRIVATE EQUITY ORD,JPEL LN,Fully Paid,"445,179",1.1400,"507,504","507,504",USD,1.0000,Equity,"507,504","507,504",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUBERA CROSS-BORDER FUND,KUBC LN,Fully Paid,"4,518,981",0.0500,"225,949","225,949",USD,1.0000,Equity,"225,949","225,949",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE SETTLEMENT ASSETS ORD,LSAA LN,Fully Paid,"3,099,584",1.4600,"4,525,393","4,525,393",USD,1.0000,Equity,"4,525,393","4,525,393",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYANMAR INVESTMENTS INT ORD,MIL LN,Fully Paid,"3,252,693",0.0750,"243,952","243,952",USD,1.0000,Equity,"243,952","243,952",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSTONE CREDIT OPPS INC ORD,RCOI LN,Fully Paid,"5,738,583",0.9325,"5,351,229","5,351,229",USD,1.0000,Equity,"5,351,229","5,351,229",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSTONE ENERGY ORD,RSE LN,Fully Paid,"838,314",6.1000,"5,113,715","5,113,715",GBP,1.2320,Equity,"7,761,720","7,761,720",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPC SPECIALTY LENDING INVESTS ORD,VSL LN,Fully Paid,"6,664,284",0.8340,"5,558,013","5,558,013",GBP,1.2320,Equity,"8,436,085","8,436,085",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Pound Forward Cash,GBP.F,Cash,"-12,500,000",1.0000,"-12,500,000","-12,500,000",GBP,1.2320,FFX,"-18,972,800","664,048",3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Forward Cash,EUR.F,Cash,"-17,500,000",1.0000,"-17,500,000","-17,500,000",EUR,1.0863,FFX,"-20,650,835","722,779",3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Dollar Forward Cash,USD.F,Cash,"31,597,694",1.0000,"31,597,694","31,597,694",USD,1.0000,FFX,"31,597,694","315,977",1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISHARES NASDAQ BIOTECHNOLOGY,IBB,Cash,"-7,800",136.5500,"-1,065,090","-1,065,090",USD,1.0000,Fund,"-1,065,090","159,764",15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSHING SQUARE HOLDINGS LTD,PSH NA,Cash,"137,622",35.6000,"4,899,343","4,899,343",USD,1.0000,Fund,"4,899,343","2,694,639",55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baring Vostok,BARVTCO,Fully Paid,"1,509,000",0.0000,0,0,USD,1.0000,Fund,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Mini Russ 2000  Mar23,RTYH3 Index,Cash,-92,"1,934.5000","-413,000","-8,898,700",USD,1.0000,Future,"-8,898,700","1,111,128",12.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURO STOXX 50     Mar23,VGH3 Index,Cash,-13,"4,181.0000","-28,405","-543,530",EUR,1.0863,Future,"-641,391","87,155",13.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTSE CHINA A50    Feb23,XUG3 Index,Cash,-175,"13,971.0000","17,325","-2,444,925",USD,1.0000,Future,"-2,444,925","357,068",14.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ 100 E-MINI Mar23,NQH3 Index,Cash,-8,"12,091.0000","-21,096","-1,934,560",USD,1.0000,Future,"-1,934,560","203,734",10.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P500 EMINI FUT  Mar23,ESH3 Index,Cash,-45,"4,077.2500","-49,725","-9,173,813",USD,1.0000,Future,"-9,173,813","1,055,880",11.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Dollars,AUD,Cash,"-1,651,535",1.0000,"-1,651,535","-1,651,535",AUD,0.7055,Spot,"-1,165,158",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Dolars,CAD,Cash,"-1,137,582",1.0000,"-1,137,582","-1,137,582",CAD,0.7515,Spot,"-854,939",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro,EUR,Cash,"20,948",1.0000,"20,948","20,948",EUR,1.0863,Spot,"22,756",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Pounds,GBP,Cash,"4,191,040",1.0000,"4,191,040","4,191,040",GBP,1.2320,Spot,"5,163,362",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Dollars,USD,Cash,"3,675,403",1.0000,"3,675,403","3,675,403",USD,1.0000,Spot,"3,675,403",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
